Time	Membrane Voltage	Recovery Variable
0.00	0.000000	0.000000
0.01	0.099638	-0.036010
0.02	0.198504	-0.064079
0.03	0.296531	-0.084271
0.04	0.393659	-0.096658
0.05	0.489835	-0.101311
0.06	0.585011	-0.098311
0.07	0.679148	-0.087737
0.08	0.772214	-0.069676
0.09	0.864185	-0.044212
0.10	0.955045	-0.011436
0.11	1.044787	0.028565
0.12	1.133413	0.075701
0.13	1.220933	0.129882
0.14	1.307366	0.191021
0.15	1.392738	0.259032
0.16	1.477086	0.333832
0.17	1.560452	0.415340
0.18	1.642889	0.503479
0.19	1.724454	0.598179
0.20	1.805213	0.699370
0.21	1.885237	0.806993
0.22	1.964605	0.920991
0.23	2.043397	1.041314
0.24	2.121702	1.167921
0.25	2.199610	1.300776
0.26	2.277214	1.439851
0.27	2.354612	1.585125
0.28	2.431900	1.736586
0.29	2.509178	1.894229
0.30	2.586546	2.058057
0.31	2.664101	2.228081
0.32	2.741942	2.404321
0.33	2.820165	2.586802
0.34	2.898863	2.775560
0.35	2.978128	2.970635
0.36	3.058045	3.172077
0.37	3.138697	3.379942
0.38	3.220163	3.594291
0.39	3.302513	3.815192
0.40	3.385815	4.042718
0.41	3.470128	4.276949
0.42	3.555504	4.517967
0.43	3.641989	4.765859
0.44	3.729620	5.020716
0.45	3.818428	5.282630
0.46	3.908434	5.551696
0.47	3.999651	5.828012
0.48	4.092084	6.111673
0.49	4.185732	6.402777
0.50	4.280582	6.701422
0.51	4.376618	7.007702
0.52	4.473813	7.321712
0.53	4.572136	7.643542
0.54	4.671550	7.973283
0.55	4.772011	8.311018
0.56	4.873473	8.656831
0.57	4.975884	9.010799
0.58	5.079192	9.372997
0.59	5.183342	9.743493
0.60	5.288277	10.122353
0.61	5.393941	10.509637
0.62	5.500280	10.905401
0.63	5.607238	11.309698
0.64	5.714765	11.722575
0.65	5.822811	12.144074
0.66	5.931329	12.574237
0.67	6.040276	13.013099
0.68	6.149612	13.460692
0.69	6.259301	13.917046
0.70	6.369309	14.382189
0.71	6.479607	14.856144
0.72	6.590169	15.338933
0.73	6.700971	15.830577
0.74	6.811994	16.331095
0.75	6.923218	16.840502
0.76	7.034629	17.358815
0.77	7.146213	17.886048
0.78	7.257958	18.422214
0.79	7.369854	18.967325
0.80	7.481892	19.521395
0.81	7.594064	20.084432
0.82	7.706364	20.656449
0.83	7.818786	21.237454
0.84	7.931325	21.827458
0.85	8.043975	22.426470
0.86	8.156732	23.034498
0.87	8.269593	23.651550
0.88	8.382554	24.277636
0.89	8.495612	24.912762
0.90	8.608764	25.556937
0.91	8.722006	26.210168
0.92	8.835337	26.872461
0.93	8.948753	27.543825
0.94	9.062253	28.224265
0.95	9.175834	28.913788
0.96	9.289493	29.612401
0.97	9.403230	30.320110
0.98	9.517042	31.036921
0.99	9.630927	31.762840
1.00	9.744883	32.497873
1.01	9.858908	33.242024
1.02	9.973002	33.995301
1.03	10.087162	34.757708
1.04	10.201387	35.529250
1.05	10.315675	36.309933
1.06	10.430026	37.099761
1.07	10.544436	37.898740
