Time,Dopamine,Motor_Symptoms
0.0,99.0,1.0
0.1,98.0,1.5
0.2,97.0,2.0
0.3,96.1,2.4
0.4,95.1,2.9
0.5,94.2,3.3
0.6,93.2,3.8
0.7,92.3,4.2
0.8,91.4,4.7
0.9,90.5,5.1
1.0,89.6,5.5
1.1,88.7,5.9
1.2,87.8,6.4
1.3,86.9,6.8
1.4,86.1,7.1
1.5,85.2,7.5
1.6,84.4,7.9
1.7,83.5,8.3
1.8,82.7,8.7
1.9,81.9,9.0
2.0,81.1,9.4
2.1,80.3,9.8
2.2,79.5,10.1
2.3,78.7,10.4
2.4,77.9,10.8
2.5,77.1,11.1
2.6,76.3,11.4
2.7,75.6,11.8
2.8,74.8,12.1
2.9,74.1,12.4
3.0,73.3,12.7
3.1,72.6,13.0
3.2,71.9,13.3
3.3,71.2,13.6
3.4,70.5,13.9
3.5,69.8,14.1
3.6,69.1,14.4
3.7,68.4,14.7
3.8,67.7,14.9
3.9,67.0,15.2
4.0,66.4,15.5
4.1,65.7,15.7
4.2,65.1,16.0
4.3,64.4,16.2
4.4,63.8,16.4
4.5,63.1,16.7
4.6,62.5,16.9
4.7,61.9,17.1
4.8,61.3,17.4
4.9,60.7,17.6
5.0,60.0,17.8
5.1,59.5,18.0
5.2,58.9,18.2
5.3,58.3,18.4
5.4,57.7,18.6
5.5,57.1,18.8
5.6,56.6,19.0
5.7,56.0,19.2
5.8,55.4,19.3
5.9,54.9,19.5
6.0,54.3,19.7
6.1,53.8,19.9
6.2,53.3,20.0
6.3,52.7,20.2
6.4,52.2,20.4
6.5,51.7,20.5
6.6,51.2,20.7
6.7,50.7,20.8
6.8,50.2,21.0
6.9,49.7,21.1
7.0,49.2,21.2
7.1,48.7,21.4
7.2,48.2,21.5
7.3,47.7,21.6
7.4,47.2,21.8
7.5,46.8,21.9
7.6,46.3,22.0
7.7,45.8,22.1
7.8,45.4,22.3
7.9,44.9,22.4
8.0,44.5,22.5
8.1,44.0,22.6
8.2,43.6,22.7
8.3,43.2,22.8
8.4,42.7,22.9
8.5,42.3,23.0
8.6,41.9,23.1
8.7,41.5,23.2
8.8,41.1,23.3
8.9,40.7,23.4
9.0,40.3,23.4
9.1,39.9,23.5
9.2,39.5,23.6
9.3,39.1,23.7
9.4,38.7,23.8
9.5,38.3,23.8
9.6,37.9,23.9
9.7,37.5,24.0
9.8,37.2,24.0
9.9,36.8,24.1
10.0,36.4,24.2
